ID,mass,type,site,element_Rb,element_Sr,element_Y,element_Zr
288275.002a,0.502,Blade,Ali Kosh,238,45,29,334
288275.002aa,0.227,Flake,Ali Kosh,234,44,28,325
288275.002ab,0.188,Flake,Ali Kosh,255,50,32,337
288275.002ac,0.153,Flake,Ali Kosh,231,46,28,327
288275.002ad,0.102,Blade,Ali Kosh,252,49,31,331
288275.002ae,0.44,Flake,Ali Kosh,234,44,28,327
288275.002af,0.656,Blade,Ali Kosh,226,44,28,323
288275.002ag,0.484,Flake,Ali Kosh,230,45,29,330
288275.002ah,0.579,Blade,Ali Kosh,230,44,28,328
288275.002ai,0.713,Core fragment?,Ali Kosh,236,45,28,331
288275.002aj,0.475,Blade,Ali Kosh,239,44,29,329
288275.002ak,0.221,Blade,Ali Kosh,242,46,29,333
288275.002aL,0.313,Flake,Ali Kosh,230,47,30,329
288275.002am,0.445,Flake,Ali Kosh,230,45,28,323
288275.002an,0.256,Blade,Ali Kosh,241,48,31,334
288275.002ao,0.148,Blade,Ali Kosh,249,49,30,333
288275.002aq,0.068,Blade,Ali Kosh,262,51,30,334
288275.002ar,0.073,Blade,Ali Kosh,257,52,32,331
288275.002at,0.058,Blade,Ali Kosh,253,49,34,325
288275.002au,0.414,Blade,Ali Kosh,231,43,27,329
288275.002av,0.279,Blade,Ali Kosh,247,47,32,338
288275.002aw,0.218,Blade,Ali Kosh,241,46,29,332
288275.002ax,0.111,Blade,Ali Kosh,252,49,30,327
288275.002ay,0.178,Flake,Ali Kosh,249,49,30,337
288275.002az,0.251,Flake,Ali Kosh,240,46,31,336
288275.002b,0.136,Blade,Ali Kosh,264,52,32,342
288275.002ba,0.243,Blade,Ali Kosh,241,47,30,338
288275.002bb,0.166,Blade,Ali Kosh,242,47,30,334
288275.002bc,0.246,Blade,Ali Kosh,254,50,31,344
288275.002bf,0.221,Blade,Ali Kosh,245,47,30,337
288275.002bg,0.339,Blade,Ali Kosh,234,44,29,332
288275.002bh,0.215,Blade,Ali Kosh,252,49,32,339
288275.002bh,0.215,Blade,Ali Kosh,254,48,31,339
288275.002bi,0.385,Flake,Ali Kosh,249,49,29,341
288275.002bj,0.555,Flake,Ali Kosh,229,44,30,326
288275.002bL,0.282,Blade,Ali Kosh,249,48,29,333
288275.002bm,0.245,Blade,Ali Kosh,272,54,34,351
288275.002bn,0.057,Blade,Ali Kosh,264,53,31,334
288275.002bo,0.07,Flake,Ali Kosh,251,52,31,338
288275.002bp,0.611,Blade,Ali Kosh,242,51,30,340
288275.002bq,0.869,Flake,Ali Kosh,239,46,29,341
288275.002br,0.537,Blade,Ali Kosh,240,46,30,336
288275.002bs,0.541,Blade,Ali Kosh,231,45,28,326
288275.002bt,1.217,Blade,Ali Kosh,228,44,29,324
288275.002bu,0.414,Flake,Ali Kosh,234,44,28,331
288275.002bv,0.213,Blade,Ali Kosh,247,47,30,335
288275.002bw,0.111,Blade,Ali Kosh,266,53,31,341
288275.002by,0.326,Blade,Ali Kosh,239,45,30,334
288275.002bz,0.222,Blade,Ali Kosh,249,49,32,339
288275.002c,0.194,Blade,Ali Kosh,245,47,29,332
288275.002ca,0.144,Blade,Ali Kosh,251,49,31,339
288275.002cc,0.099,Blade,Ali Kosh,246,49,29,335
288275.002cd,0.076,Flake,Ali Kosh,267,54,30,343
288275.002ce,0.055,Blade,Ali Kosh,261,50,29,338
288275.002cf,0.067,Blade,Ali Kosh,245,50,29,332
288275.002d,0.342,Blade,Ali Kosh,243,48,30,336
288275.002f,0.198,Blade,Ali Kosh,242,47,29,328
288275.002g,0.173,Blade,Ali Kosh,245,47,29,332
288275.002h,0.311,Blade,Ali Kosh,243,48,29,329
288275.002i,0.264,Core fragment? Flake?,Ali Kosh,227,46,27,326
288275.002j,0.183,Blade,Ali Kosh,260,52,31,342
288275.002k,0.136,Blade,Ali Kosh,246,48,29,331
288275.002L,0.093,Blade,Ali Kosh,259,50,31,337
288275.002m,0.126,Flake,Ali Kosh,248,49,30,336
288275.002o,0.123,Blade,Ali Kosh,254,48,34,338
288275.002p,0.079,Flake,Ali Kosh,275,55,34,343
288275.002r,0.065,Blade,Ali Kosh,255,49,29,334
288275.002s,0.271,Blade,Ali Kosh,237,46,30,331
288275.002t,0.07,Blade,Ali Kosh,235,45,31,335
288275.002u,0.104,Blade,Ali Kosh,251,48,29,335
288275.002x,0.256,Blade,Ali Kosh,250,48,29,335
